openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_sign_crt               , 10 , 1024 , 27328 
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont                 , 10 , 1024 , 8327  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont_consttime       , 10 , 1024 , 7848  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont_consttime_x2    , 10 , 1024 , 7852  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_verify                 , 10 , 1024 , 449443
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_sign                   , 10 , 1024 , 7741  
gmp       , 6.2.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 1024 , 9653  
gmp       , 6.2.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 1024 , 8175  
gmp       , 6.1.2   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 1024 , 8387  
gmp       , 6.1.2   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 1024 , 7267  
gmp       , 5.1.3   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 1024 , 9085  
gmp       , 5.1.3   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 1024 , 7492  
nettle    , 3.8.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , rsa_sha1_sign_digest            , 10 , 1024 , 26006 
nettle    , 3.8.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , rsa_sha1_verify_digest          , 10 , 1024 , 528771
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_public              , 10 , 1024 , 223363
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_mpi_exp_mod             , 10 , 1024 , 1695  
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_private             , 10 , 1024 , 1918  
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_public              , 10 , 1024 , 238940
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_mpi_exp_mod             , 10 , 1024 , 1769  
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_private             , 10 , 1024 , 2001  
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_verify                  , 10 , 1024 , 241928
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign                    , 10 , 1024 , 2899  
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_mpi_powm                   , 10 , 1024 , 2828  
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign_crt                , 10 , 1024 , 5577  
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_verify                  , 10 , 1024 , 238821
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign                    , 10 , 1024 , 2928  
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_mpi_powm                   , 10 , 1024 , 2855  
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign_crt                , 10 , 1024 , 5624  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_sign_crt               , 10 , 1024 , 27365 
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont                 , 10 , 1024 , 8350  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont_consttime       , 10 , 1024 , 7855  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont_consttime_x2    , 10 , 1024 , 7854  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_verify                 , 10 , 1024 , 455273
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_sign                   , 10 , 1024 , 7739  
gmp       , 6.2.1   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 1024 , 9654  
gmp       , 6.2.1   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 1024 , 8181  
gmp       , 6.1.2   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 1024 , 8388  
gmp       , 6.1.2   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 1024 , 7269  
gmp       , 5.1.3   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 1024 , 9078  
gmp       , 5.1.3   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 1024 , 7503  
nettle    , 3.8.1   , clang , Debian clang version 11.0.1-2                   , rsa_sha1_sign_digest            , 10 , 1024 , 25969 
nettle    , 3.8.1   , clang , Debian clang version 11.0.1-2                   , rsa_sha1_verify_digest          , 10 , 1024 , 527261
mbedtls   , 3.3.0   , clang , Debian clang version 11.0.1-2                   , mbedtls_rsa_public              , 10 , 1024 , 223247
mbedtls   , 3.3.0   , clang , Debian clang version 11.0.1-2                   , mbedtls_mpi_exp_mod             , 10 , 1024 , 1695  
mbedtls   , 3.3.0   , clang , Debian clang version 11.0.1-2                   , mbedtls_rsa_private             , 10 , 1024 , 1918  
mbedtls   , 2.28.2  , clang , Debian clang version 11.0.1-2                   , mbedtls_rsa_public              , 10 , 1024 , 239076
mbedtls   , 2.28.2  , clang , Debian clang version 11.0.1-2                   , mbedtls_mpi_exp_mod             , 10 , 1024 , 1772  
mbedtls   , 2.28.2  , clang , Debian clang version 11.0.1-2                   , mbedtls_rsa_private             , 10 , 1024 , 2002  
libgcrypt , 1.10.1  , clang , Debian clang version 11.0.1-2                   , gcry_pk_verify                  , 10 , 1024 , 243633
libgcrypt , 1.10.1  , clang , Debian clang version 11.0.1-2                   , gcry_pk_sign                    , 10 , 1024 , 3173  
libgcrypt , 1.10.1  , clang , Debian clang version 11.0.1-2                   , gcry_mpi_powm                   , 10 , 1024 , 3106  
libgcrypt , 1.10.1  , clang , Debian clang version 11.0.1-2                   , gcry_pk_sign_crt                , 10 , 1024 , 6182  
libgcrypt , 1.8.10  , clang , Debian clang version 11.0.1-2                   , gcry_pk_verify                  , 10 , 1024 , 241571
libgcrypt , 1.8.10  , clang , Debian clang version 11.0.1-2                   , gcry_pk_sign                    , 10 , 1024 , 3146  
libgcrypt , 1.8.10  , clang , Debian clang version 11.0.1-2                   , gcry_mpi_powm                   , 10 , 1024 , 3077  
libgcrypt , 1.8.10  , clang , Debian clang version 11.0.1-2                   , gcry_pk_sign_crt                , 10 , 1024 , 6059  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_sign_crt               , 10 , 1536 , 6771  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont                 , 10 , 1536 , 2631  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont_consttime       , 10 , 1536 , 2461  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont_consttime_x2    , 10 , 1536 , 2462  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_verify                 , 10 , 1536 , 220672
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_sign                   , 10 , 1536 , 2439  
gmp       , 6.2.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 1536 , 3069  
gmp       , 6.2.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 1536 , 2614  
gmp       , 6.1.2   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 1536 , 2609  
gmp       , 6.1.2   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 1536 , 2185  
gmp       , 5.1.3   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 1536 , 2973  
gmp       , 5.1.3   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 1536 , 2521  
nettle    , 3.8.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , rsa_sha1_sign_digest            , 10 , 1536 , 8829  
nettle    , 3.8.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , rsa_sha1_verify_digest          , 10 , 1536 , 256467
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_public              , 10 , 1536 , 113037
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_mpi_exp_mod             , 10 , 1536 , 733   
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_private             , 10 , 1536 , 1067  
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_public              , 10 , 1536 , 120593
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_mpi_exp_mod             , 10 , 1536 , 762   
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_private             , 10 , 1536 , 1120  
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_verify                  , 10 , 1536 , 129052
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign                    , 10 , 1536 , 1061  
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_mpi_powm                   , 10 , 1536 , 1057  
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign_crt                , 10 , 1536 , 2257  
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_verify                  , 10 , 1536 , 127089
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign                    , 10 , 1536 , 1065  
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_mpi_powm                   , 10 , 1536 , 1057  
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign_crt                , 10 , 1536 , 2273  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_sign_crt               , 10 , 1536 , 6755  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont                 , 10 , 1536 , 2634  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont_consttime       , 10 , 1536 , 2461  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont_consttime_x2    , 10 , 1536 , 2462  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_verify                 , 10 , 1536 , 221714
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_sign                   , 10 , 1536 , 2440  
gmp       , 6.2.1   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 1536 , 3070  
gmp       , 6.2.1   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 1536 , 2662  
gmp       , 6.1.2   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 1536 , 2609  
gmp       , 6.1.2   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 1536 , 2185  
gmp       , 5.1.3   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 1536 , 2972  
gmp       , 5.1.3   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 1536 , 2520  
nettle    , 3.8.1   , clang , Debian clang version 11.0.1-2                   , rsa_sha1_sign_digest            , 10 , 1536 , 8828  
nettle    , 3.8.1   , clang , Debian clang version 11.0.1-2                   , rsa_sha1_verify_digest          , 10 , 1536 , 256440
mbedtls   , 3.3.0   , clang , Debian clang version 11.0.1-2                   , mbedtls_rsa_public              , 10 , 1536 , 113118
mbedtls   , 3.3.0   , clang , Debian clang version 11.0.1-2                   , mbedtls_mpi_exp_mod             , 10 , 1536 , 733   
mbedtls   , 3.3.0   , clang , Debian clang version 11.0.1-2                   , mbedtls_rsa_private             , 10 , 1536 , 1066  
mbedtls   , 2.28.2  , clang , Debian clang version 11.0.1-2                   , mbedtls_rsa_public              , 10 , 1536 , 120798
mbedtls   , 2.28.2  , clang , Debian clang version 11.0.1-2                   , mbedtls_mpi_exp_mod             , 10 , 1536 , 761   
mbedtls   , 2.28.2  , clang , Debian clang version 11.0.1-2                   , mbedtls_rsa_private             , 10 , 1536 , 1120  
libgcrypt , 1.10.1  , clang , Debian clang version 11.0.1-2                   , gcry_pk_verify                  , 10 , 1536 , 131264
libgcrypt , 1.10.1  , clang , Debian clang version 11.0.1-2                   , gcry_pk_sign                    , 10 , 1536 , 1146  
libgcrypt , 1.10.1  , clang , Debian clang version 11.0.1-2                   , gcry_mpi_powm                   , 10 , 1536 , 1135  
libgcrypt , 1.10.1  , clang , Debian clang version 11.0.1-2                   , gcry_pk_sign_crt                , 10 , 1536 , 2467  
libgcrypt , 1.8.10  , clang , Debian clang version 11.0.1-2                   , gcry_pk_verify                  , 10 , 1536 , 130113
libgcrypt , 1.8.10  , clang , Debian clang version 11.0.1-2                   , gcry_pk_sign                    , 10 , 1536 , 1137  
libgcrypt , 1.8.10  , clang , Debian clang version 11.0.1-2                   , gcry_mpi_powm                   , 10 , 1536 , 1128  
libgcrypt , 1.8.10  , clang , Debian clang version 11.0.1-2                   , gcry_pk_sign_crt                , 10 , 1536 , 2452  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_sign_crt               , 10 , 2048 , 3722  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont                 , 10 , 2048 , 1147  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont_consttime       , 10 , 2048 , 1074  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , BN_mod_exp_mont_consttime_x2    , 10 , 2048 , 1074  
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_verify                 , 10 , 2048 , 130196
openssl   , 3.0.7   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , EVP_PKEY_sign                   , 10 , 2048 , 1068  
gmp       , 6.2.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 2048 , 1362  
gmp       , 6.2.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 2048 , 1190  
gmp       , 6.1.2   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 2048 , 1239  
gmp       , 6.1.2   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 2048 , 978   
gmp       , 5.1.3   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm                        , 10 , 2048 , 1262  
gmp       , 5.1.3   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mpz_powm_sec                    , 10 , 2048 , 1149  
nettle    , 3.8.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , rsa_sha1_sign_digest            , 10 , 2048 , 4076  
nettle    , 3.8.1   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , rsa_sha1_verify_digest          , 10 , 2048 , 152859
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_public              , 10 , 2048 , 67916 
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_mpi_exp_mod             , 10 , 2048 , 374   
mbedtls   , 3.3.0   , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_private             , 10 , 2048 , 677   
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_public              , 10 , 2048 , 72266 
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_mpi_exp_mod             , 10 , 2048 , 385   
mbedtls   , 2.28.2  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , mbedtls_rsa_private             , 10 , 2048 , 705   
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_verify                  , 10 , 2048 , 76174 
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign                    , 10 , 2048 , 483   
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_mpi_powm                   , 10 , 2048 , 485   
libgcrypt , 1.10.1  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign_crt                , 10 , 2048 , 1105  
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_verify                  , 10 , 2048 , 75175 
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign                    , 10 , 2048 , 483   
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_mpi_powm                   , 10 , 2048 , 486   
libgcrypt , 1.8.10  , gcc   , gcc (Debian 10.2.1-6) 10.2.1 20210110           , gcry_pk_sign_crt                , 10 , 2048 , 1114  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_sign_crt               , 10 , 2048 , 3723  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont                 , 10 , 2048 , 1148  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont_consttime       , 10 , 2048 , 1074  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , BN_mod_exp_mont_consttime_x2    , 10 , 2048 , 1074  
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_verify                 , 10 , 2048 , 130543
openssl   , 3.0.7   , clang , Debian clang version 11.0.1-2                   , EVP_PKEY_sign                   , 10 , 2048 , 1068  
gmp       , 6.2.1   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 2048 , 1363  
gmp       , 6.2.1   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 2048 , 1190  
gmp       , 6.1.2   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 2048 , 1239  
gmp       , 6.1.2   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 2048 , 978   
gmp       , 5.1.3   , clang , Debian clang version 11.0.1-2                   , mpz_powm                        , 10 , 2048 , 1258  
gmp       , 5.1.3   , clang , Debian clang version 11.0.1-2                   , mpz_powm_sec                    , 10 , 2048 , 1139  
nettle    , 3.8.1   , clang , Debian clang version 11.0.1-2                   , rsa_sha1_sign_digest            , 10 , 2048 , 4072  
